phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,0.6,70-140,0.1,1.0,8,0.05658985091980587,0.20823977922765774,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-100,0.1,1.0,8,0.1302084916220432,0.20823977769814025,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-120,0.1,1.0,6,0.07344028961778377,0.20823977514772077,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-140,0.1,1.0,8,0.04773189157561995,0.208239776414997,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,1,70-100,0.01,0.25,9,0.12562390105730328,0.2082397758465456,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-120,0.01,0.25,5,0.08053093567599344,0.2082397810702294,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-140,0.01,0.25,9,0.05282060494482394,0.2082397741545664,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-100,0.01,0.25,9,0.11035957304688591,0.20823978166154872,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-120,0.01,0.25,5,0.06596289606518331,0.20823978266626111,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-140,0.01,0.25,7,0.06992067487642677,0.2082397826584914,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-100,0.05,0.25,1,0.08118159353953022,0.20823978587324712,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-120,0.05,0.25,0,0.09249594471743976,0.20823978147197394,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-140,0.05,0.25,8,0.06479353984679824,0.20823978301375864,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-100,0.05,0.25,1,0.05950432176348035,0.20823977582265044,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-120,0.05,0.25,2,0.12374373238657008,0.20823977482341677,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-140,0.05,0.25,8,0.06479353984679824,0.20823978356015177,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-100,0.1,0.25,8,0.2043591099140027,0.20823978744210478,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-120,0.1,0.25,5,0.06920147605531157,0.20823978883787553,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-140,0.1,0.25,7,0.10684926662630202,0.2082397874559773,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-100,0.1,0.25,2,0.21175071499816378,0.20823978279388114,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-120,0.1,0.25,5,0.06920147605531157,0.208239785501362,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,80-140,0.1,0.25,7,0.10684926662630202,0.20823978653981126,results/Saito/Saito-Body-1/saito_comparison_0.25_2025_08_08-14_39_21.json,9
Body-Abdomen,1,70-100,0.01,0.5,5,0.15230896161388788,0.2082397833518958,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
